#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
NZ_JACHOS010000005.1 -         nhaA-I               RF03057    cm        1       55   205852   205908      +    no    1 0.75   0.2   58.5   1.5e-06 !   Methylorubrum rhodesianum strain DSM 5687 Ga0373205_05, whole genome shotgun sequence
NZ_JADQDC010000020.1 -         nhaA-I               RF03057    cm        1       55    27968    27900      -    no    1 0.71   0.0   26.7        76 ?   Novosphingobium jiangmenense strain 1Y9A NODE_20_length_45080_cov_48.473250, whole genome shotgun sequence
NZ_BDAR01000020.1    -         nhaA-I               RF03057    cm        1       55     2054     1999      -    no    1 0.73   0.0   26.7        77 ?   Janibacter terrae NBRC 107854 = JCM 12887 strain NBRC 107854, whole genome shotgun sequence
NZ_AP022590.1        -         nhaA-I               RF03057    cm        1       55  5921560  5921508      -    no    1 0.70   0.0   26.7        77 ?   Mycobacterium mantenii strain JCM 18113 chromosome, complete genome
NZ_QNFZ01000272.1    -         nhaA-I               RF03057    cm        1       55    17991    17924      -    no    1 0.78   1.4   26.7        77 ?   Nonomuraea lactucae strain NEAU-YG30 scaffold275, whole genome shotgun sequence
NZ_BAGN01000429.1    -         nhaA-I               RF03057    cm        1       55    30519    30567      +    no    1 0.78   0.1   26.7        77 ?   Nocardia vinacea NBRC 16497, whole genome shotgun sequence
NZ_BDBY01000071.1    -         nhaA-I               RF03057    cm        1       55    41077    41125      +    no    1 0.78   0.1   26.7        77 ?   Nocardia pseudovaccinii NBRC 100343, whole genome shotgun sequence
NZ_JACJGN010000002.1 -         nhaA-I               RF03057    cm        1       55   201116   201171      +    no    1 0.71   0.0   26.6        78 ?   Nocardioides lijunqiniae strain 1598 Scaffold2_1, whole genome shotgun sequence
NZ_JAATVW010000028.1 -         nhaA-I               RF03057    cm        1       55    42732    42691      -    no    1 0.79   0.1   26.6        78 ?   Planosporangium flavigriseum strain TBRC 198 28, whole genome shotgun sequence
NZ_SMTF01000021.1    -         nhaA-I               RF03057    cm        5       55    18609    18565      -    no    1 0.76   0.0   26.6        78 ?   Luteimonas aestuarii strain B9 Scaffold20_1, whole genome shotgun sequence
NZ_BCFL01000016.1    -         nhaA-I               RF03057    cm        1       55   522447   522499      +    no    1 0.75   0.2   26.6        78 ?   Streptomyces hyaluromycini strain NBRC 110483, whole genome shotgun sequence
NZ_LT629691.1        -         nhaA-I               RF03057    cm        1       55  2278386  2278329      -    no    1 0.66   0.0   26.6        78 ?   Pseudomonas thivervalensis strain DSM 13194 chromosome I
NZ_JABWRB020000001.1 -         nhaA-I               RF03057    cm        1       55  1175140  1175197      +    no    1 0.66   0.0   26.6        78 ?   Pseudomonas zanjanensis strain SWRI12 1, whole genome shotgun sequence
NZ_LIPN01000218.1    -         nhaA-I               RF03057    cm        1       55     2237     2181      -    no    1 0.70   0.0   26.6        78 ?   Streptomyces atriruber strain NRRL B-24165 contig_218, whole genome shotgun sequence
NZ_FMHW01000002.1    -         nhaA-I               RF03057    cm        1       55  4137534  4137592      +    no    1 0.64   0.0   26.6        79 ?   Micromonospora pallida strain DSM 43817, whole genome shotgun sequence
NC_014391.1          -         nhaA-I               RF03057    cm        1       55  4546270  4546228      -    no    1 0.79   0.1   26.6        79 ?   Micromonospora aurantiaca ATCC 27029, complete sequence
NZ_BMGS01000001.1    -         nhaA-I               RF03057    cm        1       55   213689   213637      -    no    1 0.74   0.1   26.6        79 ?   Hymenobacter glacieicola strain CGMCC 1.12990 sequence01, whole genome shotgun sequence
NZ_CP012159.1        -         nhaA-I               RF03057    cm        1       55  9196419  9196488      +    no    1 0.73   0.4   26.6        79 ?   Chondromyces crocatus strain Cm c5 chromosome, complete genome
NZ_CP032402.1        -         nhaA-I               RF03057    cm        1       55  4119956  4119903      -    no    1 0.78   0.2   26.6        79 ?   Thermomonospora amylolytica strain YIM 77502 chromosome, complete genome
NZ_JACJII010000001.1 -         nhaA-I               RF03057    cm        1       55  6125566  6125619      +    no    1 0.78   0.2   26.6        79 ?   Thermomonospora cellulosilytica strain DSM 45823 Ga0415175_01, whole genome shotgun sequence
NZ_SJKB01000024.1    -         nhaA-I               RF03057    cm        1       55    41750    41804      +    no    1 0.67   0.0   26.6        80 ?   Kribbella pittospori strain NRRL B-24813 NODE_24_length_94907_cov_17.8695_ID_4306, whole genome shotgun sequence
NZ_SLWY01000012.1    -         nhaA-I               RF03057    cm        1       55    32739    32691      -    no    1 0.82   0.8   26.6        80 ?   Plasticicumulans lactativorans strain DSM 25287 Ga0310538_112, whole genome shotgun sequence
NZ_BMWE01000004.1    -         nhaA-I               RF03057    cm        1       55    31058    31008      -    no    1 0.76   0.1   26.6        80 ?   Streptomyces djakartensis strain JCM 4957 sequence004, whole genome shotgun sequence
NZ_CP068983.1        -         nhaA-I               RF03057    cm        1       55  2948422  2948487      +    no    1 0.68   0.0   26.6        81 ?   Paradevosia shaoguanensis strain J5-3 chromosome, complete genome
NZ_FNVT01000013.1    -         nhaA-I               RF03057    cm        1       55    19233    19182      -    no    1 0.79   0.4   26.6        81 ?   Nonomuraea solani strain CGMCC 4.7037, whole genome shotgun sequence
NZ_CM002285.1        -         nhaA-I               RF03057    cm        1       55  5424563  5424489      -    no    1 0.75   0.6   26.6        82 ?   Streptomyces roseochromogenus subsp. oscitans DS 12.976 voucher DS:12.976 chromosome, whole genome shotgun sequence
NZ_FMYF01000015.1    -         nhaA-I               RF03057    cm        1       55    14580    14529      -    no    1 0.77   0.4   26.6        82 ?   Raineyella antarctica strain LZ-22, whole genome shotgun sequence
NZ_LBMK01000002.1    -         nhaA-I               RF03057    cm        1       55  1942888  1942796      -    no    1 0.73   0.8   26.6        82 ?   Streptomyces yangpuensis strain fd2-tb scaffold_02.1, whole genome shotgun sequence
NZ_BMMI01000014.1    -         nhaA-I               RF03057    cm        1       55    42891    42843      -    no    1 0.80   0.2   26.6        82 ?   Modestobacter marinus strain CGMCC 4.5581 sequence14, whole genome shotgun sequence
NZ_FMZK01000016.1    -         nhaA-I               RF03057    cm        1       55    10413    10361      -    no    1 0.74   0.1   26.6        82 ?   Streptomyces prasinopilosus strain CGMCC 4.3504, whole genome shotgun sequence
NZ_JQMQ01000005.1    -         nhaA-I               RF03057    cm        1       55  5378836  5378893      +    no    1 0.76   0.1   26.6        82 ?   Streptacidiphilus oryzae TH49 BS73DRAFT_unitig_14_quiver.5_C, whole genome shotgun sequence
NZ_JACFSZ010000015.1 -         nhaA-I               RF03057    cm        1       55    23646    23708      +    no    1 0.76   0.3   26.6        82 ?   Rhabdothermincola sediminis strain SYSU G02662 Scaffold15_1, whole genome shotgun sequence
NZ_JAJSOK010000074.1 -         nhaA-I               RF03057    cm        1       55    34646    34699      +    no    1 0.72   0.0   26.5        82 ?   Pseudonocardia kujensis strain KCTC 29062 NODE_74_length_36933_cov_13.195457, whole genome shotgun sequence
NZ_CP083590.1        -         nhaA-I               RF03057    cm        1       55  4564539  4564598      +    no    1 0.75   0.9   26.5        83 ?   Streptomyces mobaraensis strain DSM 40587 chromosome, complete genome
NZ_BDBC01000084.1    -         nhaA-I               RF03057    cm        1       55      813      756      -    no    1 0.69   0.0   26.5        83 ?   Nocardia beijingensis NBRC 16342, whole genome shotgun sequence
NZ_LABX01000239.1    -         nhaA-I               RF03057    cm        1       55    14294    14357      +    no    1 0.69   0.0   26.5        83 ?   Methylobacterium aquaticum strain DSM 16371 contig_239, whole genome shotgun sequence
NZ_CP045720.1        -         nhaA-I               RF03057    cm        1       55  3538422  3538497      +    no    1 0.64   0.0   26.5        83 ?   Pantoea eucalypti strain LMG 24197 chromosome, complete genome
NZ_SZVU01000016.1    -         nhaA-I               RF03057    cm        1       55    72689    72735      +    no    1 0.74   0.0   26.5        83 ?   Nocardioides dongxiaopingii strain 4053 Scaffold13_1, whole genome shotgun sequence
NZ_BMTS01000003.1    -         nhaA-I               RF03057    cm        1       55    98549    98506      -    no    1 0.73   0.0   26.5        83 ?   Streptomyces melanogenes strain JCM 4398 sequence003, whole genome shotgun sequence
NZ_JACHMN010000002.1 -         nhaA-I               RF03057    cm        1       55  1101697  1101650      -    no    1 0.81   2.0   26.5        84 ?   Allocatelliglobosispora scoriae strain DSM 45362 Ga0373994_02, whole genome shotgun sequence
NZ_FORX01000001.1    -         nhaA-I               RF03057    cm        1       55   148091   148143      +    no    1 0.74   0.0   26.5        85 ?   Desulfomicrobium apsheronum strain DSM 5918, whole genome shotgun sequence
NZ_PVUE01000008.1    -         nhaA-I               RF03057    cm        1       55   191633   191689      +    no    1 0.68   0.0   26.5        85 ?   Antricoccus suffuscus strain DSM 100065 Ga0181040_108, whole genome shotgun sequence
NZ_RJKX01000016.1    -         nhaA-I               RF03057    cm        1       55   434119   434161      +    no    1 0.74   0.1   26.5        85 ?   Stella humosa strain DSM 5900 Ga0244656_105, whole genome shotgun sequence
NZ_FOEG01000002.1    -         nhaA-I               RF03057    cm        1       55   346403   346459      +    no    1 0.70   0.0   26.5        86 ?   Aquisalimonas asiatica strain CGMCC 1.6291, whole genome shotgun sequence
NZ_BMWB01000004.1    -         nhaA-I               RF03057    cm        1       55    62277    62329      +    no    1 0.77   0.4   26.5        86 ?   Streptomyces xantholiticus strain JCM 4863 sequence04, whole genome shotgun sequence
NZ_LRQV01000269.1    -         nhaA-I               RF03057    cm        1       55     2323     2265      -    no    1 0.66   0.0   26.5        86 ?   Micromonospora rosaria strain DSM 803 contig269, whole genome shotgun sequence
NZ_VIWT01000009.1    -         nhaA-I               RF03057    cm        1       55    55486    55431      -    no    1 0.75   0.2   26.5        86 ?   Kitasatospora viridis strain DSM 44826 Ga0264275_19, whole genome shotgun sequence
NZ_WVHK01000183.1    -         nhaA-I               RF03057    cm        1       55     1357     1421      +    no    1 0.75   0.7   26.5        86 ?   Deinococcus xianganensis strain Y35 Scaffold183, whole genome shotgun sequence
NZ_MLCO01000127.1    -         nhaA-I               RF03057    cm        1       55    11405    11364      -    no    1 0.74   0.0   26.5        86 ?   Roseomonas deserti strain M3 M3_S294_L001_R1_001_(paired)_contig_127, whole genome shotgun sequence
NZ_VMNK01000003.1    -         nhaA-I               RF03057    cm        1       55   404246   404197      -    no    1 0.68   0.1   26.5        86 ?   Denitromonas halophilus strain SFB-3 k141_76, whole genome shotgun sequence
NZ_LT607409.1        -         nhaA-I               RF03057    cm        1       55  5473791  5473851      +    no    1 0.70   0.0   26.4        87 ?   Micromonospora chokoriensis strain DSM 45160 chromosome I
NZ_BNBN01000001.1    -         nhaA-I               RF03057    cm        1       55  1040954  1041018      +    no    1 0.72   0.3   26.4        87 ?   Streptomyces candidus strain JCM 4629 sequence01, whole genome shotgun sequence
NC_016024.1          -         nhaA-I               RF03057    cm        1       55  1538315  1538250      -    no    1 0.67   0.0   26.4        87 ?   Chloracidobacterium thermophilum B chromosome 1, complete sequence
NZ_CP011530.1        -         nhaA-I               RF03057    cm        1       55   975867   975922      +    no    1 0.68   0.0   26.4        87 ?   Mycobacteroides immunogenum strain CCUG 47286 chromosome, complete genome
NZ_FZPB01000003.1    -         nhaA-I               RF03057    cm        1       55   206828   206870      +    no    1 0.58   0.0   26.4        88 ?   Stenotrophomonas lactitubi strain YR347, whole genome shotgun sequence
NZ_CP058322.1        -         nhaA-I               RF03057    cm        1       55  2008837  2008889      +    no    1 0.75   0.0   26.4        89 ?   Micromonospora carbonacea strain aurantiaca chromosome, complete genome
NZ_KE386572.1        -         nhaA-I               RF03057    cm        1       55  2155845  2155925      +    no    1 0.68   0.1   26.4        89 ?   Geminicoccus roseus DSM 18922 GemroDRAFT_scaffold1.1, whole genome shotgun sequence
NZ_JOMH01000001.1    -         nhaA-I               RF03057    cm        1       55  2633868  2633815      -    no    1 0.72   0.1   26.4        89 ?   Polycyclovorans algicola TG408 U741DRAFT_scf7180000000002_quiver.1_C, whole genome shotgun sequence
NZ_CP018080.1        -         nhaA-I               RF03057    cm        1       55   117800   117744      -    no    1 0.72   0.0   26.4        90 ?   Sulfitobacter alexandrii strain AM1-D1 plasmid unnamed4, complete sequence
NZ_BEWD01000001.1    -         nhaA-I               RF03057    cm        1       55   103133   103185      +    no    1 0.74   0.8   26.4        90 ?   Streptomyces rubrogriseus strain NBRC 15455, whole genome shotgun sequence
NZ_VMRJ01000004.1    -         nhaA-I               RF03057    cm        1       55   232917   232869      -    no    1 0.65   0.0   26.4        90 ?   Hymenobacter setariae strain Fur1 contig4, whole genome shotgun sequence
